,Year,Assault,Burglary,Child Neglect and Cruelty,Damage to Property and to the Environment,Dangerous Driving,Drug Offences,Endangerment,Fraud and Deception,Homicide,Kidnapping,Offences against Government and Justice Procedures,Public Order and Social Code Offences,Robbery and Extortion,Sexual Offences,Theft and Handling Stolen Property,Weapons and Explosives Offences,cluster
0,2003,0.030483531885073578,0.87240746837229,0.025906735751295373,0.6342984725520078,0.40660518979197946,0.0,0.0,0.033001646502970855,0.4573170731707317,0.24210526315789482,0.03291644953969075,0.5595640638818085,0.8116695551704216,0.13698010849909584,0.8414614874047852,0.009446693657219951,3
1,2004,0.0,0.8321967737384188,0.05958549222797932,0.7411135131303825,0.45757380799199365,0.04402873604097024,0.010554089709762461,0.0,0.5670731707317074,0.0,0.0,0.6281797846329917,0.6990179087232813,0.0944846292947559,0.8026170232940357,0.11785874943769681,3
2,2005,0.04776921280074742,0.9014250105817618,0.24870466321243523,0.8360562781302053,0.5948245049681894,0.28814282665907964,0.09762532981530339,0.040303529243324504,0.7926829268292683,0.0,0.11559840194545767,0.8286167611715135,0.5297515886770652,0.13155515370705254,0.829324567780271,0.2968960863697706,3
3,2006,0.2667601027797242,0.8284813996143536,0.34196891191709844,0.9732785200411102,0.9143612838658947,0.3510206984849562,0.07124010554089712,0.08318419357147969,0.8658536585365855,0.08421052631578951,0.2627236407851311,0.8575664568485671,0.5678798382437897,0.07775768535262208,0.8762919182022184,0.553306342780027,3
4,2007,0.5680915673907965,0.790434087381837,1.0,0.9621504766630048,1.0,0.6563055693861584,0.2559366754617414,0.22177679146681942,1.0,0.35789473684210527,0.3872676741358346,0.9642615616709153,0.4032351242056613,0.04068716094032555,0.895698346976832,0.766531713900135,3
5,2008,0.7522775052557811,0.8500211635234916,0.9740932642487048,1.0,0.8891986560869255,1.0,0.30079155672823227,0.1840503973083256,0.6219512195121952,0.010526315789473717,0.5847663713739795,1.0,0.47544771808203334,0.0,0.9487025506495148,0.9604138551506972,3
6,2009,0.6589581873394064,0.9554625405634201,0.8756476683937824,0.9135627458624235,0.5920366001858602,0.8940891955331105,0.3298153034300792,0.14682511274965995,0.524390243902439,0.7157894736842105,0.46004863644259153,0.8804557041044584,0.5875216637781628,0.12567811934900544,0.9521160592939091,0.9887539361223573,1
7,2010,0.579187105816398,0.8893853172177022,0.689119170984456,0.8034163801963358,0.3584244763742941,0.7459990041966,0.4116094986807388,0.16694108382847736,0.5792682926829269,0.6105263157894736,0.41141219385096406,0.8121000884357282,1.0,0.46790235081374343,0.9436771073674892,1.0,1
8,2011,0.4544498948843727,0.9878192164793302,0.07512953367875652,0.673671899918489,0.23339766959754094,0.5884486805604952,0.3034300791556728,0.16608203880020048,0.3353658536585366,0.43157894736842106,0.30918881361820394,0.6585860687717839,0.8359329867128826,0.3114828209764919,0.9440879926672774,0.7156995051731895,1
9,2012,0.28416257883672036,1.0,0.15803108808290156,0.5669277385972995,0.17277861176638787,0.5035920051212748,0.22427440633245382,0.18125850096642568,0.4329268292682927,0.24210526315789482,0.2582942504776793,0.5242938147011393,0.754477180820335,0.3193942133815552,0.9270520560068269,0.5168690958164642,1
10,2013,0.12754029432375602,0.8986502375017638,0.15025906735751293,0.44533437289577216,0.08020587604546425,0.4288356213101927,0.11081794195250663,0.11568473047462238,0.475609756097561,0.49473684210526314,0.23579989577905158,0.33205014825989704,0.7452339688041594,0.28797468354430383,1.0,0.3796671165092217,1
11,2014,0.22132679280541923,0.9644452805342614,0.20725388601036276,0.3965694439522275,0.062191722067338584,0.466889536951419,0.07124010554089712,0.14217195217982678,0.5670731707317074,0.5263157894736843,0.28834462393607785,0.2334963325183375,0.6603119584055459,0.3182640144665461,0.9749043901513952,0.26090868196131345,1
12,2015,0.42560149497780886,0.8989794478671871,0.0,0.3476981961229047,0.053970977196368564,0.40920406856817704,0.27704485488126657,0.1872002290786742,0.274390243902439,0.8105263157894738,0.43520931040472466,0.25042917338604803,0.6164067013287116,0.4588607594936709,0.9134296279907708,0.21727395411605943,1
13,2016,0.40247605699602884,0.5352019940742134,0.25647668393782386,0.21423255484282527,0.08978483093859457,0.478199018422363,0.18733509234828497,0.12520581287135804,0.3170731707317073,0.5368421052631578,0.5122459614382491,0.14498257295947573,0.34662045060658575,0.5660036166365281,0.5584247289737349,0.10841205578047686,2
14,2017,0.6676010277972435,0.564454686544702,0.5595854922279793,0.24829003792040266,0.12602759310887124,0.5309054698058184,0.34036939313984166,0.15920967857398524,0.40853658536585363,0.6000000000000001,0.6407851311446935,0.19643135826874064,0.39168110918544197,0.7278481012658229,0.7101362242801607,0.21817363922627087,2
15,2018,0.8070544265358559,0.4586370690871467,0.4689119170984456,0.19101959811461183,0.12388305096861818,0.6386656234440573,1.0,0.22428233946596035,0.3658536585365854,0.631578947368421,0.8722424874066355,0.2166675336836083,0.5424610051993066,0.8779385171790238,0.6358291981415342,0.24651372019793072,2
16,2019,1.0,0.448948878333255,0.3886010362694301,0.2050536910373179,0.13968117806848235,0.8547549612347962,0.8390501319261215,0.33953754742644426,0.15243902439024387,0.5578947368421052,1.0,0.2279560942620819,0.48295782784517605,0.9416817359855337,0.6750845475520718,0.35672514619883045,2
17,2020,0.6760102779724364,0.17311762216056065,0.4430051813471503,0.12017578055781977,0.13760812066623773,0.984707304929227,0.9973614775725596,0.3358866060562675,0.17682926829268292,0.6526315789473685,0.3895257946847316,0.1404567445247881,0.17908723281340255,0.7997287522603981,0.14750782262397674,0.5371120107962214,2
18,2021,0.8204858677878999,0.0648544419884306,0.3031088082901555,0.11145763192401739,0.11423261133747942,0.763923465395832,0.7282321899736148,1.0,0.0,1.0,0.48662497828730245,0.12352390365707747,0.1288272674754477,1.0,0.0,0.2865497076023392,2
19,2022,0.524059799112357,0.0,0.046632124352331605,0.0,0.0,0.29625151148730355,0.4591029023746702,0.43303028133724686,0.012195121951219523,0.4421052631578948,0.2889525794684732,0.0,0.0,0.6114376130198915,0.07901640380542994,0.0,2
